"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Dec 2021",104.676484161021,61.5539605761422,147.7990077459,38.7262755067753,170.626692815267
"Jan 2022",103.122237134819,48.3620608734976,157.88241339614,19.373774611077,186.87069965856
"Feb 2022",78.1010809507458,17.3023741181847,138.899787783307,-14.8825171363043,171.084679037796
"Mar 2022",48.6237465227673,-15.5942043374029,112.841697382937,-49.5891340439305,146.836627089465
"Apr 2022",34.5592849496255,-31.6660916052036,100.784661504455,-66.7236882836127,135.842258182864
"May 2022",25.0961863185918,-42.3293875114131,92.5217601485966,-78.022330248939,128.214702886123
"Jun 2022",25.2686986965666,-42.8816537630518,93.419051156185,-78.9582711310584,129.495668524192
"Jul 2022",24.0028664958667,-44.5876885516617,92.593421543395,-80.8973350934769,128.90306808521
"Aug 2022",28.0415653039234,-40.8172589774185,96.9003895852653,-77.2689186732469,133.352049281094
"Sep 2022",38.0409650265765,-30.9816800594277,107.063610112581,-67.5200612507938,143.601991303947
"Oct 2022",57.428282848346,-11.6945226767557,126.551088373448,-48.2859256017786,163.142491298471
"Nov 2022",96.6243979737845,27.4403097872038,165.808486160365,-9.18353421918829,202.432330166757
"Dec 2022",120.439658004744,51.1500792801984,189.72923672929,14.4703919562482,226.40892405324
"Jan 2023",114.50932900445,45.1552140462477,183.863443962653,8.44136330385584,220.577294705045
"Feb 2023",88.6751402968987,19.2815161583184,158.068764435479,-17.4532494807916,194.803530074589
"Mar 2023",57.6005340715808,-11.8172814917352,127.018349634897,-48.5648532975381,163.7659214407
"Apr 2023",40.4224599276785,-29.0101706193019,109.855090474659,-65.7655850037224,146.610504859079
"May 2023",29.6138073913787,-39.8278968782708,99.0555116610282,-76.5881146013245,135.815729384082
"Jun 2023",27.7345853984287,-41.7126765257928,97.1818473226503,-78.4758362934613,133.945007090319
"Jul 2023",25.0914441698736,-44.3592218053016,94.5421101450488,-81.1241835686947,131.307071908442
