"","region","periodo","poblacion"
"246",9,2015,982034
"247",9,2016,988403
"248",9,2017,994888
"249",9,2018,1001420
"250",9,2019,1007965
"251",9,2020,1014343
"252",9,2021,1019548
"253",9,2022,1024029
"254",9,2023,1028201
"255",9,2024,1032164
"256",9,2025,1035918
"257",9,2026,1039468
"258",9,2027,1042798
"259",9,2028,1045898
"260",9,2029,1048752
"261",9,2030,1051361
"262",10,2002,742689
"263",10,2003,752192
"264",10,2004,761414
"265",10,2005,770347
"266",10,2006,779460
"267",10,2007,788306
"268",10,2008,797877
"269",10,2009,807700
"270",10,2010,816913
"271",10,2011,826000
"272",10,2012,834466
"273",10,2013,841878
"274",10,2014,849087
"275",10,2015,856176
"276",10,2016,863290
"277",10,2017,870227
"278",10,2018,877348
"279",10,2019,884464
"280",10,2020,891440
"281",10,2021,897303
"282",10,2022,902510
"283",10,2023,907429
"284",10,2024,912171
"285",10,2025,916721
"286",10,2026,921079
"287",10,2027,925251
"288",10,2028,929237
"289",10,2029,933025
"290",10,2030,936603
"291",11,2002,93039
"292",11,2003,93857
"293",11,2004,94695
"294",11,2005,95573
"295",11,2006,96389
"296",11,2007,97265
"297",11,2008,98245
"298",11,2009,99314
"299",11,2010,100254
"300",11,2011,101247
"301",11,2012,102053
"302",11,2013,102772
"303",11,2014,103446
"304",11,2015,104097
"305",11,2016,104704
"306",11,2017,105382
"307",11,2018,106023
"308",11,2019,106680
"309",11,2020,107297
"310",11,2021,107737
"311",11,2022,108047
"312",11,2023,108306
"313",11,2024,108538
"314",11,2025,108744
"315",11,2026,108920
"316",11,2027,109063
"317",11,2028,109173
"318",11,2029,109247
"319",11,2030,109286
"320",12,2002,152394
"321",12,2003,153244
"322",12,2004,154108
"323",12,2005,155031
"324",12,2006,156053
"325",12,2007,157141
"326",12,2008,158402
"327",12,2009,159700
"328",12,2010,161020
"329",12,2011,162448
"330",12,2012,163877
"331",12,2013,165142
"332",12,2014,166475
"333",12,2015,167961
"334",12,2016,169530
"335",12,2017,171293
"336",12,2018,173567
"337",12,2019,175984
"338",12,2020,178362
"339",12,2021,179949
"340",12,2022,181143
"341",12,2023,182217
"342",12,2024,183235
"343",12,2025,184216
"344",12,2026,185163
"345",12,2027,186073
"346",12,2028,186952
"347",12,2029,187782
"348",12,2030,188559
"349",13,2002,6305647
"350",13,2003,6379768
"351",13,2004,6453961
"352",13,2005,6525158
"353",13,2006,6597698
"354",13,2007,6672285
"355",13,2008,6750464
"356",13,2009,6827896
"357",13,2010,6904143
"358",13,2011,6984240
"359",13,2012,7065046
"360",13,2013,7131650
"361",13,2014,7202595
"362",13,2015,7279754
"363",13,2016,7369532
"364",13,2017,7508690
"365",13,2018,7702891
"366",13,2019,7915199
"367",13,2020,8125072
"368",13,2021,8242459
"369",13,2022,8310984
"370",13,2023,8367790
"371",13,2024,8420729
"372",13,2025,8471244
"373",13,2026,8519527
"374",13,2027,8565503
"375",13,2028,8609036
"376",13,2029,8649979
"377",13,2030,8688263
"378",14,2002,369407
"379",14,2003,370577
"380",14,2004,371657
"381",14,2005,372946
"382",14,2006,374372
"383",14,2007,375988
"384",14,2008,377866
"385",14,2009,379949
"386",14,2010,382310
"387",14,2011,384765
"388",14,2012,387211
"389",14,2013,389393
"390",14,2014,391641
"391",14,2015,393791
"392",14,2016,396155
"393",14,2017,398493
"394",14,2018,400935
"395",14,2019,403413
"396",14,2020,405835
"397",14,2021,407818
"398",14,2022,409559
"399",14,2023,411205
"400",14,2024,412786
"401",14,2025,414293
"402",14,2026,415720
"403",14,2027,417072
"404",14,2028,418345
"405",14,2029,419541
"406",14,2030,420644
"407",15,2002,195426
"408",15,2003,197382
"409",15,2004,199548
"410",15,2005,201749
"411",15,2006,204095
"412",15,2007,206494
"413",15,2008,209279
"414",15,2009,212189
"415",15,2010,215208
"416",15,2011,218689
"417",15,2012,222202
"418",15,2013,225025
"419",15,2014,227956
"420",15,2015,230986
"421",15,2016,233922
"422",15,2017,237082
"423",15,2018,241901
"424",15,2019,247036
"425",15,2020,252110
"426",15,2021,255380
"427",15,2022,257722
"428",15,2023,259802
"429",15,2024,261779
"430",15,2025,263687
"431",15,2026,265533
"432",15,2027,267315
"433",15,2028,269035
"434",15,2029,270701
"435",15,2030,272300
"436",16,2002,455240
"437",16,2003,457588
"438",16,2004,460020
"439",16,2005,462532
"440",16,2006,465154
"441",16,2007,468014
"442",16,2008,471037
"443",16,2009,474282
"444",16,2010,477509
"445",16,2011,480905
"446",16,2012,484129
"447",16,2013,487019
"448",16,2014,490153
"449",16,2015,493464
"450",16,2016,496870
"451",16,2017,500517
"452",16,2018,504248
"453",16,2019,507959
"454",16,2020,511551
"455",16,2021,514508
"456",16,2022,517060
"457",16,2023,519437
"458",16,2024,521711
"459",16,2025,523876
"460",16,2026,525925
"461",16,2027,527847
"462",16,2028,529648
"463",16,2029,531321
"464",16,2030,532854
