"","nombre","year","day","mes","Caudal"
"19671","RIO MAPOCHO EN EL TREBAL",2020,"28","March","2.3100000000000001"
"19672","RIO MAPOCHO EN EL TREBAL",2020,"28","April","1.51"
"19673","RIO MAPOCHO EN EL TREBAL",2020,"28","May","1.79"
"19674","RIO MAPOCHO EN EL TREBAL",2020,"28","June","4.7599999999999998"
"19675","RIO MAPOCHO EN EL TREBAL",2020,"28","July","9.9600000000000009"
"19676","RIO MAPOCHO EN EL TREBAL",2020,"28","August","1.6600000000000001"
"19677","RIO MAPOCHO EN EL TREBAL",2020,"28","September","3.0499999999999998"
"19678","RIO MAPOCHO EN EL TREBAL",2020,"28","October",NA
"19679","RIO MAPOCHO EN EL TREBAL",2020,"28","November","124"
"19680","RIO MAPOCHO EN EL TREBAL",2020,"28","December","11.1"
"19681","RIO MAPOCHO EN EL TREBAL",2020,"29","January","3.48"
"19682","RIO MAPOCHO EN EL TREBAL",2020,"29","February","2.46"
"19683","RIO MAPOCHO EN EL TREBAL",2020,"29","March","2.0600000000000001"
"19684","RIO MAPOCHO EN EL TREBAL",2020,"29","April","1.3300000000000001"
"19685","RIO MAPOCHO EN EL TREBAL",2020,"29","May","1.8"
"19686","RIO MAPOCHO EN EL TREBAL",2020,"29","June","70.5"
"19687","RIO MAPOCHO EN EL TREBAL",2020,"29","July","10.6"
"19688","RIO MAPOCHO EN EL TREBAL",2020,"29","August","1.6299999999999999"
"19689","RIO MAPOCHO EN EL TREBAL",2020,"29","September","2.96"
"19690","RIO MAPOCHO EN EL TREBAL",2020,"29","October",NA
"19691","RIO MAPOCHO EN EL TREBAL",2020,"29","November","158"
"19692","RIO MAPOCHO EN EL TREBAL",2020,"29","December","10.699999999999999"
"19693","RIO MAPOCHO EN EL TREBAL",2020,"30","January","1.8799999999999999"
"19694","RIO MAPOCHO EN EL TREBAL",2020,"30","February",NA
"19695","RIO MAPOCHO EN EL TREBAL",2020,"30","March",NA
"19696","RIO MAPOCHO EN EL TREBAL",2020,"30","April","1.3300000000000001"
"19697","RIO MAPOCHO EN EL TREBAL",2020,"30","May","2.1899999999999999"
"19698","RIO MAPOCHO EN EL TREBAL",2020,"30","June","19.5"
"19699","RIO MAPOCHO EN EL TREBAL",2020,"30","July","10.4"
"19700","RIO MAPOCHO EN EL TREBAL",2020,"30","August","1.6299999999999999"
"19701","RIO MAPOCHO EN EL TREBAL",2020,"30","September","2.3500000000000001"
"19702","RIO MAPOCHO EN EL TREBAL",2020,"30","October",NA
"19703","RIO MAPOCHO EN EL TREBAL",2020,"30","November","159"
"19704","RIO MAPOCHO EN EL TREBAL",2020,"30","December","9.1899999999999995"
"19705","RIO MAPOCHO EN EL TREBAL",2020,"31","January","2.7999999999999998"
"19706","RIO MAPOCHO EN EL TREBAL",2020,"31","February",NA
"19707","RIO MAPOCHO EN EL TREBAL",2020,"31","March","1.96"
"19708","RIO MAPOCHO EN EL TREBAL",2020,"31","April",NA
"19709","RIO MAPOCHO EN EL TREBAL",2020,"31","May","2.6400000000000001"
"19710","RIO MAPOCHO EN EL TREBAL",2020,"31","June",NA
"19711","RIO MAPOCHO EN EL TREBAL",2020,"31","July","11.6"
"19712","RIO MAPOCHO EN EL TREBAL",2020,"31","August","1.72"
"19713","RIO MAPOCHO EN EL TREBAL",2020,"31","September",NA
"19714","RIO MAPOCHO EN EL TREBAL",2020,"31","October",NA
"19715","RIO MAPOCHO EN EL TREBAL",2020,"31","November",NA
"19716","RIO MAPOCHO EN EL TREBAL",2020,"31","December","8.1999999999999993"
"19717","RIO MAPOCHO EN EL TREBAL",2021,"1","January","10.300000000000001"
"19718","RIO MAPOCHO EN EL TREBAL",2021,"1","February",NA
"19719","RIO MAPOCHO EN EL TREBAL",2021,"1","March","3.9399999999999999"
"19720","RIO MAPOCHO EN EL TREBAL",2021,"1","April",NA
"19721","RIO MAPOCHO EN EL TREBAL",2021,"1","May",NA
"19722","RIO MAPOCHO EN EL TREBAL",2021,"1","June",NA
"19723","RIO MAPOCHO EN EL TREBAL",2021,"1","July",NA
"19724","RIO MAPOCHO EN EL TREBAL",2021,"1","August",NA
"19725","RIO MAPOCHO EN EL TREBAL",2021,"1","September",NA
"19726","RIO MAPOCHO EN EL TREBAL",2021,"1","October",NA
"19727","RIO MAPOCHO EN EL TREBAL",2021,"1","November",NA
"19728","RIO MAPOCHO EN EL TREBAL",2021,"1","December",NA
"19729","RIO MAPOCHO EN EL TREBAL",2021,"2","January","12.5"
"19730","RIO MAPOCHO EN EL TREBAL",2021,"2","February",NA
"19731","RIO MAPOCHO EN EL TREBAL",2021,"2","March","2.8100000000000001"
"19732","RIO MAPOCHO EN EL TREBAL",2021,"2","April",NA
"19733","RIO MAPOCHO EN EL TREBAL",2021,"2","May",NA
"19734","RIO MAPOCHO EN EL TREBAL",2021,"2","June",NA
"19735","RIO MAPOCHO EN EL TREBAL",2021,"2","July",NA
"19736","RIO MAPOCHO EN EL TREBAL",2021,"2","August",NA
"19737","RIO MAPOCHO EN EL TREBAL",2021,"2","September",NA
"19738","RIO MAPOCHO EN EL TREBAL",2021,"2","October",NA
"19739","RIO MAPOCHO EN EL TREBAL",2021,"2","November",NA
"19740","RIO MAPOCHO EN EL TREBAL",2021,"2","December",NA
"19741","RIO MAPOCHO EN EL TREBAL",2021,"3","January","8.3100000000000005"
"19742","RIO MAPOCHO EN EL TREBAL",2021,"3","February",NA
"19743","RIO MAPOCHO EN EL TREBAL",2021,"3","March","2.8599999999999999"
"19744","RIO MAPOCHO EN EL TREBAL",2021,"3","April",NA
"19745","RIO MAPOCHO EN EL TREBAL",2021,"3","May",NA
"19746","RIO MAPOCHO EN EL TREBAL",2021,"3","June",NA
"19747","RIO MAPOCHO EN EL TREBAL",2021,"3","July",NA
"19748","RIO MAPOCHO EN EL TREBAL",2021,"3","August",NA
"19749","RIO MAPOCHO EN EL TREBAL",2021,"3","September",NA
"19750","RIO MAPOCHO EN EL TREBAL",2021,"3","October",NA
"19751","RIO MAPOCHO EN EL TREBAL",2021,"3","November",NA
"19752","RIO MAPOCHO EN EL TREBAL",2021,"3","December",NA
"19753","RIO MAPOCHO EN EL TREBAL",2021,"4","January","7.0899999999999999"
"19754","RIO MAPOCHO EN EL TREBAL",2021,"4","February",NA
"19755","RIO MAPOCHO EN EL TREBAL",2021,"4","March","3.8199999999999998"
"19756","RIO MAPOCHO EN EL TREBAL",2021,"4","April",NA
"19757","RIO MAPOCHO EN EL TREBAL",2021,"4","May",NA
"19758","RIO MAPOCHO EN EL TREBAL",2021,"4","June",NA
"19759","RIO MAPOCHO EN EL TREBAL",2021,"4","July",NA
"19760","RIO MAPOCHO EN EL TREBAL",2021,"4","August",NA
"19761","RIO MAPOCHO EN EL TREBAL",2021,"4","September",NA
"19762","RIO MAPOCHO EN EL TREBAL",2021,"4","October",NA
"19763","RIO MAPOCHO EN EL TREBAL",2021,"4","November",NA
"19764","RIO MAPOCHO EN EL TREBAL",2021,"4","December",NA
"19765","RIO MAPOCHO EN EL TREBAL",2021,"5","January","2.6600000000000001"
"19766","RIO MAPOCHO EN EL TREBAL",2021,"5","February",NA
"19767","RIO MAPOCHO EN EL TREBAL",2021,"5","March","4.3799999999999999"
"19768","RIO MAPOCHO EN EL TREBAL",2021,"5","April",NA
"19769","RIO MAPOCHO EN EL TREBAL",2021,"5","May",NA
"19770","RIO MAPOCHO EN EL TREBAL",2021,"5","June",NA
"19771","RIO MAPOCHO EN EL TREBAL",2021,"5","July",NA
"19772","RIO MAPOCHO EN EL TREBAL",2021,"5","August",NA
"19773","RIO MAPOCHO EN EL TREBAL",2021,"5","September",NA
"19774","RIO MAPOCHO EN EL TREBAL",2021,"5","October",NA
"19775","RIO MAPOCHO EN EL TREBAL",2021,"5","November",NA
"19776","RIO MAPOCHO EN EL TREBAL",2021,"5","December",NA
"19777","RIO MAPOCHO EN EL TREBAL",2021,"6","January",NA
"19778","RIO MAPOCHO EN EL TREBAL",2021,"6","February",NA
"19779","RIO MAPOCHO EN EL TREBAL",2021,"6","March","5.5499999999999998"
"19780","RIO MAPOCHO EN EL TREBAL",2021,"6","April",NA
"19781","RIO MAPOCHO EN EL TREBAL",2021,"6","May",NA
"19782","RIO MAPOCHO EN EL TREBAL",2021,"6","June",NA
"19783","RIO MAPOCHO EN EL TREBAL",2021,"6","July",NA
"19784","RIO MAPOCHO EN EL TREBAL",2021,"6","August",NA
"19785","RIO MAPOCHO EN EL TREBAL",2021,"6","September",NA
"19786","RIO MAPOCHO EN EL TREBAL",2021,"6","October",NA
"19787","RIO MAPOCHO EN EL TREBAL",2021,"6","November",NA
"19788","RIO MAPOCHO EN EL TREBAL",2021,"6","December",NA
"19789","RIO MAPOCHO EN EL TREBAL",2021,"7","January",NA
"19790","RIO MAPOCHO EN EL TREBAL",2021,"7","February",NA
"19791","RIO MAPOCHO EN EL TREBAL",2021,"7","March","6.1699999999999999"
"19792","RIO MAPOCHO EN EL TREBAL",2021,"7","April",NA
"19793","RIO MAPOCHO EN EL TREBAL",2021,"7","May",NA
"19794","RIO MAPOCHO EN EL TREBAL",2021,"7","June",NA
"19795","RIO MAPOCHO EN EL TREBAL",2021,"7","July",NA
"19796","RIO MAPOCHO EN EL TREBAL",2021,"7","August",NA
"19797","RIO MAPOCHO EN EL TREBAL",2021,"7","September",NA
"19798","RIO MAPOCHO EN EL TREBAL",2021,"7","October",NA
"19799","RIO MAPOCHO EN EL TREBAL",2021,"7","November",NA
"19800","RIO MAPOCHO EN EL TREBAL",2021,"7","December",NA
"19801","RIO MAPOCHO EN EL TREBAL",2021,"8","January","1.72"
"19802","RIO MAPOCHO EN EL TREBAL",2021,"8","February",NA
"19803","RIO MAPOCHO EN EL TREBAL",2021,"8","March","6.0199999999999996"
"19804","RIO MAPOCHO EN EL TREBAL",2021,"8","April",NA
"19805","RIO MAPOCHO EN EL TREBAL",2021,"8","May",NA
"19806","RIO MAPOCHO EN EL TREBAL",2021,"8","June",NA
"19807","RIO MAPOCHO EN EL TREBAL",2021,"8","July",NA
"19808","RIO MAPOCHO EN EL TREBAL",2021,"8","August",NA
"19809","RIO MAPOCHO EN EL TREBAL",2021,"8","September",NA
"19810","RIO MAPOCHO EN EL TREBAL",2021,"8","October",NA
"19811","RIO MAPOCHO EN EL TREBAL",2021,"8","November",NA
"19812","RIO MAPOCHO EN EL TREBAL",2021,"8","December",NA
"19813","RIO MAPOCHO EN EL TREBAL",2021,"9","January",NA
"19814","RIO MAPOCHO EN EL TREBAL",2021,"9","February",NA
"19815","RIO MAPOCHO EN EL TREBAL",2021,"9","March","5.5999999999999996"
"19816","RIO MAPOCHO EN EL TREBAL",2021,"9","April",NA
"19817","RIO MAPOCHO EN EL TREBAL",2021,"9","May",NA
"19818","RIO MAPOCHO EN EL TREBAL",2021,"9","June",NA
"19819","RIO MAPOCHO EN EL TREBAL",2021,"9","July",NA
"19820","RIO MAPOCHO EN EL TREBAL",2021,"9","August",NA
"19821","RIO MAPOCHO EN EL TREBAL",2021,"9","September",NA
"19822","RIO MAPOCHO EN EL TREBAL",2021,"9","October",NA
"19823","RIO MAPOCHO EN EL TREBAL",2021,"9","November",NA
"19824","RIO MAPOCHO EN EL TREBAL",2021,"9","December",NA
"19825","RIO MAPOCHO EN EL TREBAL",2021,"10","January",NA
"19826","RIO MAPOCHO EN EL TREBAL",2021,"10","February",NA
"19827","RIO MAPOCHO EN EL TREBAL",2021,"10","March","5.1600000000000001"
"19828","RIO MAPOCHO EN EL TREBAL",2021,"10","April",NA
"19829","RIO MAPOCHO EN EL TREBAL",2021,"10","May",NA
"19830","RIO MAPOCHO EN EL TREBAL",2021,"10","June",NA
"19831","RIO MAPOCHO EN EL TREBAL",2021,"10","July",NA
"19832","RIO MAPOCHO EN EL TREBAL",2021,"10","August",NA
"19833","RIO MAPOCHO EN EL TREBAL",2021,"10","September",NA
"19834","RIO MAPOCHO EN EL TREBAL",2021,"10","October",NA
"19835","RIO MAPOCHO EN EL TREBAL",2021,"10","November",NA
"19836","RIO MAPOCHO EN EL TREBAL",2021,"10","December",NA
"19837","RIO MAPOCHO EN EL TREBAL",2021,"11","January",NA
"19838","RIO MAPOCHO EN EL TREBAL",2021,"11","February",NA
"19839","RIO MAPOCHO EN EL TREBAL",2021,"11","March","3.8300000000000001"
"19840","RIO MAPOCHO EN EL TREBAL",2021,"11","April",NA
"19841","RIO MAPOCHO EN EL TREBAL",2021,"11","May",NA
"19842","RIO MAPOCHO EN EL TREBAL",2021,"11","June",NA
"19843","RIO MAPOCHO EN EL TREBAL",2021,"11","July",NA
"19844","RIO MAPOCHO EN EL TREBAL",2021,"11","August",NA
"19845","RIO MAPOCHO EN EL TREBAL",2021,"11","September",NA
"19846","RIO MAPOCHO EN EL TREBAL",2021,"11","October",NA
"19847","RIO MAPOCHO EN EL TREBAL",2021,"11","November",NA
"19848","RIO MAPOCHO EN EL TREBAL",2021,"11","December",NA
"19849","RIO MAPOCHO EN EL TREBAL",2021,"12","January",NA
"19850","RIO MAPOCHO EN EL TREBAL",2021,"12","February",NA
